,Unnamed: 0,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio
47,47,El Cantautoret,"Autor, Pop/rock",Sueca (Ribera Baixa),https://www.youtube.com/watch?v=k6KC0Fz4oCA,39.20569896786305,-0.3050514478528756,Comunitat Valenciana,"El Cantautoret: Autor, Pop/rock",2
48,48,SIMI5,Sense definir,Esparreguera (Baix Llobregat),None,41.540307126361746,1.8769370746990774,Catalunya,SIMI5: Sense definir,1
49,49,Projecte Castor,mestissatge,Vinaròs (Baix Maestrat),https://www.youtube.com/playlist?list=PLhw6b1QRaV8vujrEuZq7boHuyhN34F01v,40.47169695067926,0.48375858617667444, Castelló / Castellón,Projecte Castor: mestissatge,0
50,50,"Yagmi,The New God",Trap,Terrassa (Vallès Occidental),https://www.youtube.com/channel/UCjhl4DEVlJZg8ejtxuUcxZw?view_as=subscriber,41.57090930272753,2.020226590724577,Catalunya,"Yagmi,The New God: Trap",1
51,51,Revolusonats,Hip hop fusió,Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=aRvzrjrz4vY,41.56826763744971,2.018898731357703,Catalunya,Revolusonats: Hip hop fusió,1
52,52,Mama Dousha,Pop,Barcelona (Barcelonès),https://www.youtube.com/watch?v=ujcwQ_c7H2I,41.390542935285225,2.1832172091122963,Catalunya,Mama Dousha: Pop,1
53,53,Carles Sanahuja,cançó d'autor,Vilafranca del Penedès (Alt Penedès),https://www.youtube.com/watch?v=DittlFvxbh8 ,41.3515556389879,1.7048211161740647,Catalunya,Carles Sanahuja: cançó d'autor,1
54,54,Xavier Mata,Hip hop,El Prat del Llobregat (Baix Llobregat),https://www.youtube.com/watch?v=1Lt4ttrf3QI,41.32680533155902,2.1043871335044986,Catalunya,Xavier Mata: Hip hop,1
55,55,Lluc ( a palo seco ),Música d'autor,Sant Carles de la Ràpita (Montsià),None,40.62158165318241,0.5970184394333687,Catalunya,Lluc ( a palo seco ): Música d'autor,1
56,56,Gran Bèstia,Pop espacial,Barcelona (Garraf),None,41.384414060581825,2.186181147082605,Catalunya,Gran Bèstia: Pop espacial,1
57,57,Joan Ràfols,Pop Rock,Llorenç del Penedès (Baix Penedès),None,41.29303841852559,1.5545791551816799,Catalunya,Joan Ràfols: Pop Rock,1
58,58,Noelia Molino,Soul,Vilafranca del Penedès (Alt Penedès),https://www.youtube.com/watch?v=SV-wu1DoJzU,41.35321954335814,1.7094693479888319,Catalunya,Noelia Molino: Soul,1
59,59,Delta Delta,Pop/rock alternatiu,Sant Feliu de Llobregat (Baix Llobregat),https://www.youtube.com/watch?v=RBBBjXdf6L0,41.39055490661588,2.0497536596094363,Catalunya,Delta Delta: Pop/rock alternatiu,1
60,60,Et-Co,Fusió,Vendrell (Baix Penedès),https://www.youtube.com/watch?v=M2XkOPZOlmw,41.22535468849897,1.5357062331926605,Catalunya,Et-Co: Fusió,1
61,61,MADAMME MUSTASH,POP /CANÇÓ D'AUTOR,ROSES (Alt Empordà),https://www.youtube.com/watch?v=eI3kJzf_Nog,42.264182866198546,3.1791792514205635,Catalunya,MADAMME MUSTASH: POP /CANÇÓ D'AUTOR,1
62,62,KARLA AMB K,Indie-Pop Electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=qnI-oXlIYvQ,41.39173107481738,2.1817374333061097,Catalunya,KARLA AMB K: Indie-Pop Electrònic,1
63,63,Aiguadolça,Rock pop,Sitges (Garraf),https://www.youtube.com/watch?v=pyfMt1Whg9U&feature=youtu.be,41.23775326091127,1.8316035923997467,Catalunya,Aiguadolça: Rock pop,1
64,64,Rostoll,Hardcore Punk,Lleida (Segrià),https://www.youtube.com/watch?v=caU_MUmxzGc,41.62224946504287,0.6357839162517495,Catalunya,Rostoll: Hardcore Punk,1
65,65,Ideal,Pop rock catala,Palafrugell  (Baix Empordà),None,41.92713594345331,3.1699023050911084,Catalunya,Ideal: Pop rock catala,1
66,66,Enric Casado,Canta Autor,Sueca (Ribera Baixa),None,39.20449514234656,-0.3109383310650429,Comunitat Valenciana,Enric Casado: Canta Autor,2
67,67,La Ruba,Pop / Rock / Indie,Gandia (Safor),https://www.youtube.com/watch?v=3WijXH5veIQ,38.9729967658482,-0.17964290350476977,Comunitat Valenciana,La Ruba: Pop / Rock / Indie,2
68,68,Iglú,Indie Pop,Barcelona (Barcelonès),https://www.youtube.com/watch?v=WYfXfG4jKYQ,41.384697257698804,2.1831885210321236,Catalunya,Iglú: Indie Pop,1
69,69,María González,Pop/pop-rock/indie,L'Hospitalet de Llobregat (Baix Llobregat),None,41.36655406847952,2.1025812702897313,Catalunya,María González: Pop/pop-rock/indie,1
70,70,Sebastià López Ventura,Pop/ rock,Sils (Gironès),None,41.81535805256112,2.744671609182384,Catalunya,Sebastià López Ventura: Pop/ rock,1
71,71,Ismael Dueñas,Pop/folk acústic,Badalona (Barcelonès),https://www.youtube.com/watch?v=Q84wqOkYYFw,41.45441527758783,2.255469721410189,Catalunya,Ismael Dueñas: Pop/folk acústic,1
72,72,MARC CORTADELLES,"Rock, Blues",Reus (Baix Camp),https://www.youtube.com/watch?v=XihX2wNRp4Y,41.15999515646768,1.112151507487139,Catalunya,"MARC CORTADELLES: Rock, Blues",1
73,73,SATURN,Pop rock estel·lar,Barcelona (Barcelonès),None,41.391577584747644,2.1823714413619912,Catalunya,SATURN: Pop rock estel·lar,1
74,74,Massiva Cosmo,Rock / Metall Alternatiu,Cubelles (Garraf),https://www.youtube.com/watch?v=zK48dmzNphE,41.210986722215985,1.6798930087164425,Catalunya,Massiva Cosmo: Rock / Metall Alternatiu,1
75,75,Silah Sirius,Reggae,"Barcelona, Bonastre (Baix Penedès)",None,41.377816917785076,2.165145509271976,Catalunya,Silah Sirius: Reggae,1
76,76,Opció 2,Rockountryfolk acústic o alguna cosa així,Barcelona (Barcelonès),https://www.youtube.com/watch?v=kDoewivrJVU,41.38356908610558,2.186869180017409,Catalunya,Opció 2: Rockountryfolk acústic o alguna cosa així,1
77,77,Remei de Ca la Fresca,Dancehall futurista o el que tu vulguis.,Arbúcies (Selva),None,41.819435883457686,2.522647529348342,Catalunya,Remei de Ca la Fresca: Dancehall futurista o el que tu vulguis.,1
78,78,KGB / Kevin Gomez Bove,pop,tarragona  (Tarragonès),https://www.youtube.com/watch?v=P5mqugcz2Ag,41.11853634649687,1.2558428733438913,Catalunya,KGB / Kevin Gomez Bove: pop,1
79,79,Eulàlia Guntin Xirinachs,pop-rock intimista,El Prat de Llobregat (Baix Llobregat),None,41.33104868575033,2.1039223557568385,Catalunya,Eulàlia Guntin Xirinachs: pop-rock intimista,1
80,80,Projecte Júlia,pop rock,Barcelona (Alt Penedès),None,41.391908574233156,2.1782419511259166,Catalunya,Projecte Júlia: pop rock,1
81,81,Groc,"Pop, Indie-Pop, Indie",Barcelona (Barcelonès),https://www.youtube.com/watch?v=rQ2YdX1IsmU,41.387119029015395,2.1790760362753603,Catalunya,"Groc: Pop, Indie-Pop, Indie",1
