,Unnamed: 0,Unnamed: 0.1,NomdelGrup,Estil,Poblacio,URLvideoYoutube,lat,lon,Region,Nom_Estil,NumRegio,yearDownload
54,54,54,Xavier Mata,Hip hop,El Prat del Llobregat (Baix Llobregat),https://www.youtube.com/watch?v=1Lt4ttrf3QI,41.3288332471615,2.0998183364344465,Catalunya,Xavier Mata: Hip hop,1.0,2020
55,55,55,Lluc ( a palo seco ),Música d'autor,Sant Carles de la Ràpita (Montsià),None,40.62093927806997,0.5987051306064824,Catalunya,Lluc ( a palo seco ): Música d'autor,1.0,2020
56,56,56,Gran Bèstia,Pop espacial,Barcelona (Garraf),None,41.39034353119185,2.1829197261857494,Catalunya,Gran Bèstia: Pop espacial,1.0,2020
57,57,57,Joan Ràfols,Pop Rock,Llorenç del Penedès (Baix Penedès),None,41.287824925097866,1.5540617640185792,Catalunya,Joan Ràfols: Pop Rock,1.0,2020
58,58,58,Noelia Molino,Soul,Vilafranca del Penedès (Alt Penedès),https://www.youtube.com/watch?v=SV-wu1DoJzU,41.353750927168505,1.708872707687037,Catalunya,Noelia Molino: Soul,1.0,2020
59,59,59,Delta Delta,Pop/rock alternatiu,Sant Feliu de Llobregat (Baix Llobregat),https://www.youtube.com/watch?v=RBBBjXdf6L0,41.38907376497086,2.047709045271239,Catalunya,Delta Delta: Pop/rock alternatiu,1.0,2020
60,60,60,Et-Co,Fusió,Vendrell (Baix Penedès),https://www.youtube.com/watch?v=M2XkOPZOlmw,41.2279852035994,1.5365677451274842,Catalunya,Et-Co: Fusió,1.0,2020
61,61,61,MADAMME MUSTASH,POP /CANÇÓ D'AUTOR,ROSES (Alt Empordà),https://www.youtube.com/watch?v=eI3kJzf_Nog,42.266785482462346,3.177142939465958,Catalunya,MADAMME MUSTASH: POP /CANÇÓ D'AUTOR,1.0,2020
62,62,62,KARLA AMB K,Indie-Pop Electrònic,Barcelona (Barcelonès),https://www.youtube.com/watch?v=qnI-oXlIYvQ,41.38671432452429,2.1856544597631737,Catalunya,KARLA AMB K: Indie-Pop Electrònic,1.0,2020
63,63,63,Aiguadolça,Rock pop,Sitges (Garraf),https://www.youtube.com/watch?v=pyfMt1Whg9U&feature=youtu.be,41.24037229759069,1.8305622034475533,Catalunya,Aiguadolça: Rock pop,1.0,2020
64,64,64,Rostoll,Hardcore Punk,Lleida (Segrià),https://www.youtube.com/watch?v=caU_MUmxzGc,41.61657223975227,0.6365377299999686,Catalunya,Rostoll: Hardcore Punk,1.0,2020
65,65,65,Ideal,Pop rock catala,Palafrugell  (Baix Empordà),https://youtu.be/oUs8lQTz5nE,41.92559574170132,3.1633997657887267,Catalunya,Ideal: Pop rock catala,1.0,2020
66,66,66,Enric Casado,Canta Autor,Sueca (Ribera Baixa),None,39.208783912625115,-0.3031855795490585,Comunitat Valenciana,Enric Casado: Canta Autor,2.0,2020
67,67,67,La Ruba,Pop / Rock / Indie,Gandia (Safor),https://www.youtube.com/watch?v=3WijXH5veIQ,38.977412831335336,-0.17980261934593858,Comunitat Valenciana,La Ruba: Pop / Rock / Indie,2.0,2020
68,68,68,Iglú,Indie Pop,Barcelona (Barcelonès),https://www.youtube.com/watch?v=WYfXfG4jKYQ,41.391631353048275,2.180970803067087,Catalunya,Iglú: Indie Pop,1.0,2020
69,69,69,María González,Pop/pop-rock/indie,L'Hospitalet de Llobregat (Baix Llobregat),None,41.365995073275506,2.1045347176678044,Catalunya,María González: Pop/pop-rock/indie,1.0,2020
70,70,70,Sebastià López Ventura,Pop/ rock,Sils (Gironès),None,41.81494119278895,2.744338344856224,Catalunya,Sebastià López Ventura: Pop/ rock,1.0,2020
71,71,71,Ismael Dueñas,Pop/folk acústic,Badalona (Barcelonès),https://www.youtube.com/watch?v=Q84wqOkYYFw,41.45258076646621,2.249015761278093,Catalunya,Ismael Dueñas: Pop/folk acústic,1.0,2020
72,72,72,MARC CORTADELLES,"Rock, Blues",Reus (Baix Camp),https://www.youtube.com/watch?v=XihX2wNRp4Y,41.15807334276682,1.108141816031733,Catalunya,"MARC CORTADELLES: Rock, Blues",1.0,2020
73,73,73,SATURN,Pop rock estel·lar,Barcelona (Barcelonès),None,41.384070754282654,2.183291532507903,Catalunya,SATURN: Pop rock estel·lar,1.0,2020
74,74,74,Massiva Cosmo,Rock / Metall Alternatiu,Cubelles (Garraf),https://www.youtube.com/watch?v=zK48dmzNphE,41.21170732033786,1.6788801442260723,Catalunya,Massiva Cosmo: Rock / Metall Alternatiu,1.0,2020
75,75,75,Silah Sirius,Reggae,"Barcelona, Bonastre (Baix Penedès)",None,41.384955789649474,2.1673064271683757,Catalunya,Silah Sirius: Reggae,1.0,2020
76,76,76,Opció 2,Rockountryfolk acústic o alguna cosa així,Barcelona (Barcelonès),https://www.youtube.com/watch?v=kDoewivrJVU,41.392637933153594,2.179995353139611,Catalunya,Opció 2: Rockountryfolk acústic o alguna cosa així,1.0,2020
77,77,77,Remei de Ca la Fresca,Dancehall futurista o el que tu vulguis.,Arbúcies (Selva),None,41.823257328133224,2.514620567646191,Catalunya,Remei de Ca la Fresca: Dancehall futurista o el que tu vulguis.,1.0,2020
78,78,78,KGB / Kevin Gomez Bove,pop,tarragona  (Tarragonès),https://www.youtube.com/watch?v=P5mqugcz2Ag,41.11972055385647,1.2552610585645902,Catalunya,KGB / Kevin Gomez Bove: pop,1.0,2020
79,79,79,Eulàlia Guntin Xirinachs,pop-rock intimista,El Prat de Llobregat (Baix Llobregat),None,41.328535809612866,2.0977536388480638,Catalunya,Eulàlia Guntin Xirinachs: pop-rock intimista,1.0,2020
80,80,80,Projecte Júlia,pop rock,Vilafranca del Penedès (Alt Penedès),None,41.3470193762751,1.7081784715533257,Catalunya,Projecte Júlia: pop rock,1.0,2020
81,81,81,Groc,"Pop, Indie-Pop, Indie",Barcelona (Barcelonès),https://www.youtube.com/watch?v=rQ2YdX1IsmU,41.38626669458864,2.1831457564613403,Catalunya,"Groc: Pop, Indie-Pop, Indie",1.0,2020
82,82,82,Noel Biniés,"folkpoprockalternatiu , cançó d'autor",Hostalric (Selva),https://www.youtube.com/user/noelt8xx,41.754364953618435,2.6361706636545934,Catalunya,"Noel Biniés: folkpoprockalternatiu , cançó d'autor",1.0,2020
83,83,83,OnzePM,Indie Rock,Barcelona (Barcelonès),https://www.youtube.com/watch?v=CUrkACOfjsA,41.38695838111797,2.185550027403059,Catalunya,OnzePM: Indie Rock,1.0,2020
84,84,84,Bouzouki dance BETA,Pink punk,Barcelona (Barcelonès),https://www.youtube.com/watch?v=_dwc3N0hINI,41.38359106186883,2.178813402905354,Catalunya,Bouzouki dance BETA: Pink punk,1.0,2020
85,85,85,Enric EZ,"Cantautor, mediterrani, pop, àfrica, jazz, soul. Life music",Santa Maria de Palautordera (Vallès Oriental),https://www.youtube.com/watch?v=DJ_HFjwytts,41.69854848258725,2.4514209782024867,Catalunya,"Enric EZ: Cantautor, mediterrani, pop, àfrica, jazz, soul. Life music",1.0,2020
86,86,86,GUILLOLA,pop/rock alternatiu,Figueres (Alt Empordà),https://www.youtube.com/watch?v=9vQNi8v4OWg,42.26944328713002,2.964144275688544,Catalunya,GUILLOLA: pop/rock alternatiu,1.0,2020
87,87,87,EL TIO LA CARETA,ROCK ALTERNATIU,VALÈNCIA (València),None,39.4793249359581,-0.3680459976381968,Comunitat Valenciana,EL TIO LA CARETA: ROCK ALTERNATIU,2.0,2020
88,88,88,Lia Sampai,Cançó d'autor,Cerdanyola del Vallès (Vallès Occidental),https://www.youtube.com/watch?v=6QFIM-iqUWg,41.500064053512226,2.1444293504665426,Catalunya,Lia Sampai: Cançó d'autor,1.0,2020
89,89,89,Joa Lwest,"Pop, Folk",Rubí (Vallès Occidental),None,41.502864754494354,2.0341966719717157,Catalunya,"Joa Lwest: Pop, Folk",1.0,2020
90,90,90,Sempre Amunt,Pop / musica d'Autor / Rumba,Barcelona (Barcelonès),https://www.youtube.com/watch?v=XGArQD7mGDo&feature=youtu.be,41.38603362901537,2.1823959841681284,Catalunya,Sempre Amunt: Pop / musica d'Autor / Rumba,1.0,2020
91,91,91,Les Buch,Punk rock,Terrassa (Vallès Occidental),https://www.youtube.com/watch?v=MVMAb5uD13Y,41.56636318760332,2.015485166212715,Catalunya,Les Buch: Punk rock,1.0,2020
92,92,92,David Ràfols,Pop-Rock,Vilafranca del Penedès  (Alt Penedès),None,41.35259499958377,1.7070679721882478,Catalunya,David Ràfols: Pop-Rock,1.0,2020
93,93,93,Marina Freixas,Pop intimista,Igualada (Anoia),None,41.581809449241284,1.6232238704377375,Catalunya,Marina Freixas: Pop intimista,1.0,2020
94,94,94,La Corda Fluixa,Pop Folk,Puigcerdà (Cerdanya),https://www.youtube.com/watch?v=nCHFnpotxiM,42.43596527330581,1.9354044119593312,Catalunya,La Corda Fluixa: Pop Folk,1.0,2020
95,95,95,LEGENDARI,Folk rock,Palau Solità i Plegamans (Vallès Occidental),https://www.youtube.com/watch?v=QpxKdWNQ8Iw,41.59115954611715,2.1811287447550702,Catalunya,LEGENDARI: Folk rock,1.0,2020
96,96,96,Eva González Menal,"personal: soul, indie, acústic, música medicina, instrumental, experimental... amb ganes sempre de provar nous sons i instruments.",Ripollet (Barcelonès),https://www.youtube.com/watch?v=-QhsjAP6Uvk,41.50651263191874,2.1622746605997687,Catalunya,"Eva González Menal: personal: soul, indie, acústic, música medicina, instrumental, experimental... amb ganes sempre de provar nous sons i instruments.",1.0,2020
97,97,97,Sequoia,Indie Folk,Barcelona (Barcelonès),https://www.youtube.com/watch?v=JVGNyPv_6ko,41.390977394687816,2.1850502398380645,Catalunya,Sequoia: Indie Folk,1.0,2020
98,98,98,Punkgrossos,PunkRock,Barcelona (Barcelonès),None,41.38652731567583,2.179032902725964,Catalunya,Punkgrossos: PunkRock,1.0,2020
99,99,99,FA1NA,Fusió de rumba catalana i flamenca,Mollerussa (Pla d'Urgell),https://www.youtube.com/watch?v=rAHMKxRhGng,41.63946955773704,0.9018110840673528,Catalunya,FA1NA: Fusió de rumba catalana i flamenca,1.0,2020
100,100,100,Carla Font,Pop,Lleida (Segrià),https://www.youtube.com/watch?v=iwpYLfVrmUM&feature=youtu.be,41.621374682417226,0.6289718248252468,Catalunya,Carla Font: Pop,1.0,2020
101,101,101,David Martí,Pop d'autor,Castellfollit del Boix  (Bages),None,41.66854141990843,1.6926280564506322,Catalunya,David Martí: Pop d'autor,1.0,2020
102,102,102,Efímer,Pop,Vic (Osona),https://www.youtube.com/channel/UCd1e7TjzZGHbriMGkcbVslQ/videos,41.930853132969204,2.257127236815267,Catalunya,Efímer: Pop,1.0,2020
103,103,103,Màresan,Pop-Folk,La Ràpita (Montsià),https://www.youtube.com/watch?v=DxyZHRPENcU&t=108s,40.6202,0.5928899999999999,Comunitat Valenciana,Màresan: Pop-Folk,2.0,2020
104,104,104,Laura Esparza i Carlos Esteban,Indie folk,València (València),https://www.youtube.com/watch?v=q6bNMrhsAeQ,39.47840539996936,-0.3715823313171065,Comunitat Valenciana,Laura Esparza i Carlos Esteban: Indie folk,2.0,2020
105,105,105,Marco Pompero,Indie folk mediterrani,Alcoi (Alcoi),https://www.youtube.com/watch?v=bQj2SSUvaG8,38.70128232484365,-0.466476288823893,Comunitat Valenciana,Marco Pompero: Indie folk mediterrani,2.0,2020
106,106,106,Laura Jareño,"bossa nova, cantautor,  pop",Santa Coloma de Gramenet (Barcelonès),None,41.4525838167665,2.213461275746813,Catalunya,"Laura Jareño: bossa nova, cantautor,  pop",1.0,2020
