,NomdelGrup,Estil,Poblacio,URLvideoYoutube
95,Dan Peralbo,pop-rock,Barcelona (Barcelonès),https://www.youtube.com/watch?v=kPMdlY5qaRQ&t=150s
96,TTC,Punk Rock,El Pla de Santa Maria (Alt Camp),http://YOUTUBE: https://www.youtube.com/playlist?list=PL47KcQijm9e2CkHWFj3_ubvEuyyTgDYYw
97,Pete Lala,Neo-soul,València (València),https://www.youtube.com/watch?v=-fGe6bp2hlY
98,Joan Rafart,Comercial,Solsona (Solsonès),None
99,Joan Delapse,Pop acústic en català,Granollers (Barcelonès),None
100,Terra Ferma,"Ska-fusió; barreja de rock, reggae, rap i hip-hop",Reus (Baix Camp),https://www.youtube.com/watch?v=tA8Ybx56aGQ
101,Sam Darris,Pop,Casnet de Mar  (Maresme),None
102,Capvespre,Pop,Valencia (València),None
103,Petit Taller de Cançons,"Pop, Public Familiar",Reus (Baix Camp),None
104,DINGDONG SYSTEM,Electrònica Hip Hop,València (València),None
105,Josep Romaní,Pop Romàntic / fraternal,Montuïri  (Pla de Mallorca),None
106,Toc de Sal,pop/reggae català,Barcelona (Barcelonès),None
107,REVOLT,Poprock,Viladecavalls (Vallès Occidental),None
108,SMUSSA,rock,Vinalesa (Valencia) (Horta Nord),https://www.youtube.com/watch?v=laEeBJKh_3U
109,Ramonets,Rock&Roll familiar,València (València),https://www.youtube.com/watch?v=ZMnBSSpfsyA
110,Suc i Sopes,Pop-Rock,Ciutadella (Menorca),https://www.youtube.com/watch?v=tK0N0Wqgqs8
111,Piergaró,Power-pop,Ca'n Picafort (Mallorca) (Serra de Tramuntana),None
112,La Ruba,"Rock, indie, pop",Gandia (Safor),https://www.youtube.com/watch?v=3WijXH5veIQ
113,GELUC,"Fusió de diferents estils (com ara Txarango,Oques grasses, Doctor Prats, Manel...)",Vic (Osona),https://www.youtube.com/watch?v=QIgSVpPfbz8
